customer_id,age,item_name,quantity
5,18,x,3.0
5,18,y,3.0
5,18,z,4.0
7,30,x,14.0
7,30,y,19.0
7,30,z,10.0
9,25,x,5.0
9,25,y,2.0
9,25,z,4.0
16,19,x,5.0
16,19,y,4.0
16,19,z,8.0
22,18,x,5.0
22,18,y,5.0
22,18,z,3.0
28,21,x,3.0
28,21,z,1.0
29,30,x,5.0
29,30,y,12.0
29,30,z,12.0
31,22,x,6.0
31,22,y,7.0
31,22,z,12.0
34,22,x,5.0
34,22,y,6.0
34,22,z,5.0
35,20,x,3.0
35,20,y,5.0
35,20,z,2.0
41,21,x,2.0
41,21,y,4.0
41,21,z,6.0
50,31,y,2.0
50,31,z,1.0
58,30,x,5.0
58,30,y,2.0
58,30,z,4.0
59,24,x,7.0
59,24,y,4.0
59,24,z,5.0
68,32,x,5.0
68,32,y,5.0
68,32,z,3.0
70,29,x,5.0
70,29,y,6.0
70,29,z,1.0
78,19,x,9.0
78,19,y,8.0
78,19,z,3.0
79,26,x,5.0
79,26,y,4.0
79,26,z,7.0
80,23,x,5.0
80,23,y,5.0
80,23,z,6.0
83,33,x,3.0
83,33,y,4.0
83,33,z,5.0
86,35,x,7.0
86,35,y,5.0
86,35,z,5.0
90,19,x,6.0
90,19,y,3.0
90,19,z,5.0
97,23,x,2.0
97,23,y,2.0
97,23,z,3.0
100,30,x,1.0
100,30,y,1.0
100,30,z,5.0
